province,mode,tracks,exam_authority,url,rank_status,admission_status,current_data_dir,notes
北京,3+3,普通类,北京教育考试院,https://www.bjeea.cn/,imported,imported,assets/pilot-data/beijing-ordinary,试点数据已导入；后续补官方专业级或聚合站专业级补充时需标注来源
天津,3+3,普通类,天津招考资讯网,http://www.zhaokao.net/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
河北,3+1+2,物理类|历史类,河北省教育考试院,https://www.hebeea.edu.cn/,ocr_draft_needs_review,discovered,assets/source-discovery/hebei,官方来源已发现；投档XLSX可解析；一分一段OCR草稿需复核后才能进入正式数据
山西,3+1+2,物理类|历史类,山西招生考试网,http://www.sxkszx.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
内蒙古,3+1+2,物理类|历史类,内蒙古招生考试信息网,https://www.nm.zsks.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
辽宁,3+1+2,物理类|历史类,辽宁招生考试之窗,https://www.lnzsks.com/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
吉林,3+1+2,物理类|历史类,吉林省教育考试院,https://www.jleea.edu.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
黑龙江,3+1+2,物理类|历史类,黑龙江省招生考试院,https://www.hljea.org.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
上海,3+3,普通类,上海市教育考试院,https://www.shmeea.edu.cn/,imported,imported,assets/pilot-data/shanghai-ordinary,试点数据已导入；一分一段为图片PDF来源时保留OCR核验说明
江苏,3+1+2,物理类|历史类,江苏省教育考试院,https://www.jseea.cn/,discovered_needs_2023_rank,discovered,assets/source-discovery/jiangsu,2024-2025逐分段和2023-2025投档表已定位；2023第一阶段逐分段仍缺口
浙江,3+3,普通类,浙江省教育考试院,https://www.zjzs.net/,imported,imported,assets/pilot-data/zhejiang-ordinary,试点数据已导入；浙江投档数据本身可到专业级
安徽,3+1+2,物理类|历史类,安徽省教育招生考试院,https://www.ahzsks.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
福建,3+1+2,物理类|历史类,福建省教育考试院,https://www.eeafj.cn/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
江西,3+1+2,物理类|历史类,江西省教育考试院,http://www.jxeea.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
山东,3+3,普通类,山东省教育招生考试院,https://www.sdzk.cn/,imported,imported,assets/pilot-data/shandong-ordinary,试点数据已导入；山东常规批投档数据本身可到专业级
河南,3+1+2,物理类|历史类,河南省教育考试院,https://www.haeea.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
湖北,3+1+2,物理类|历史类,湖北省教育考试院,http://www.hbea.edu.cn/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
湖南,3+1+2,物理类|历史类,湖南省教育考试院,http://jyt.hunan.gov.cn/jyt/sjyt/hnsjyksy/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
广东,3+1+2,物理类|历史类,广东省教育考试院,https://eea.gd.gov.cn/,imported,imported,assets/pilot-data/guangdong-physics|assets/pilot-data/guangdong-history,省级投档和一分一段已导入；广东46所公办本科均已有专业级/部分专业级数据；其中29所为学校官网来源导入，17所为聚合/API或Workbuddy补充并标注待官方复核；特殊艺术/体育/公安院校和新升本科院校已纳入。
广西,3+1+2,物理类|历史类,广西招生考试院,https://www.gxeea.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
海南,3+3,普通类,海南省考试局,https://ea.hainan.gov.cn/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
重庆,3+1+2,物理类|历史类,重庆教育考试院,https://www.cqksy.cn/,needs_discovery,needs_discovery,,待采集2023-2025一分一段表和本科批投档表
四川,3+1+2,物理类|历史类,四川省教育考试院,https://www.sceea.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
贵州,3+1+2,物理类|历史类,贵州省招生考试院,https://zsksy.guizhou.gov.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
云南,3+1+2,物理类|历史类,云南省招生考试院,https://www.ynzs.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
西藏,traditional,理科|文科,西藏自治区教育考试院,http://zsks.edu.xizang.gov.cn/,needs_discovery,needs_discovery,,传统文理；投档层面可能为院校级，推荐时需降低精度表述
陕西,3+1+2,物理类|历史类,陕西省教育考试院,https://www.sneea.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
甘肃,3+1+2,物理类|历史类,甘肃省教育考试院,https://www.ganseea.cn/,needs_discovery,needs_discovery,,2024起新高考；需留意2023传统文理与2024-2025物理/历史不可直接混用
青海,3+1+2,物理类|历史类,青海省考试网,https://www.qhjyks.com/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
宁夏,3+1+2,物理类|历史类,宁夏教育考试院,https://www.nxjyks.cn/,needs_discovery,needs_discovery,,2025首届新高考省份之一；需按物理/历史分目录采集
新疆,traditional,理科|文科,新疆教育考试院,https://www.xjzk.gov.cn/,needs_discovery,needs_discovery,,传统文理；投档层面可能为院校级，推荐时需降低精度表述
